i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,steps,tools,untrusted_fraction,seconds,error
160541,Backdoor Malware,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,Recon-OS Scan,MITM-ARP Spoofing,Benign,MITM-ARP Spoofing,4,"classify_flow,classify_flow,aggregate_classifiers",0.1958,17.2,
121896,Backdoor Malware,Command Injection,Command Injection (attack),True,True,Vulnerability Scan,Command Injection,Command Injection,Command Injection,4,"classify_flow,classify_flow,aggregate_classifiers",0.1915,14.8,
59707,Benign,Recon-Port Scan,Recon-Port Scan,True,True,Recon-OS Scan,Recon-Port Scan,Benign,Recon-Port Scan,4,"classify_flow,classify_flow,aggregate_classifiers",0.1967,13.9,
53035,Benign,SQL Injection,SQL Injection (attack),True,True,Vulnerability Scan,SQL Injection,Vulnerability Scan,SQL Injection,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1831,17.6,
3130,Browser Hijacking,Recon-Host Discovery,Recon-Host Discovery (attack),True,True,Recon-Host Discovery,Recon-Host Discovery,XSS,Recon-Host Discovery,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1745,19.4,
14426,Browser Hijacking,Browser Hijacking,Browser Hijacking,True,True,Browser Hijacking,Browser Hijacking,Browser Hijacking,Browser Hijacking,4,"classify_flow,classify_flow,aggregate_classifiers",0.1964,14.4,
157673,Command Injection,XSS,XSS,True,True,Recon-Host Discovery,XSS,DNS Spoofing,XSS,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1786,18.5,
129451,Command Injection,Browser Hijacking,Browser Hijacking,True,True,Vulnerability Scan,Browser Hijacking,Vulnerability Scan,Browser Hijacking,5,"classify_flow,search_memory,classify_flow,aggregate_classifiers",0.263,19.3,
97796,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1845,17.8,
117622,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,4,"classify_flow,classify_flow,aggregate_classifiers",0.195,14.8,
140491,DDoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1928,14.8,
121874,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1944,14.5,
180792,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.185,18.0,
108796,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.198,14.6,
131715,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,5,"classify_flow,classify_flow,search_memory,aggregate_classifiers,aggregate_classifiers",0.2481,23.1,
