i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,hidden_aggregate,n_classify_calls,classifiers_consulted,steps,tools,untrusted_fraction,seconds,error
160541,Backdoor Malware,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,Recon-OS Scan,MITM-ARP Spoofing,Benign,MITM-ARP Spoofing,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow,search_memory",0.2891,21.3,
121896,Backdoor Malware,Command Injection,Command Injection,True,True,Vulnerability Scan,Command Injection,Command Injection,Command Injection,3,"decision_tree,knn,random_forest",5,"classify_flow,search_memory,classify_flow,classify_flow",0.2873,19.0,
59707,Benign,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,Recon-OS Scan,Recon-Port Scan,Benign,Recon-Port Scan,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow,search_memory",0.3014,18.0,
53035,Benign,SQL Injection,SQL Injection,True,True,Vulnerability Scan,SQL Injection,Vulnerability Scan,SQL Injection,2,"decision_tree,random_forest",4,"classify_flow,search_memory,classify_flow",0.2732,14.0,
3130,Browser Hijacking,XSS,XSS,True,True,Recon-Host Discovery,Recon-Host Discovery,XSS,Recon-Host Discovery,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2839,19.5,
14426,Browser Hijacking,Browser Hijacking,Browser Hijacking,True,True,Browser Hijacking,Browser Hijacking,Browser Hijacking,Browser Hijacking,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.1994,16.0,
157673,Command Injection,Recon-Host Discovery,Recon-Host Discovery (attack),True,True,Recon-Host Discovery,XSS,DNS Spoofing,XSS,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow",0.1923,18.0,
129451,Command Injection,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Browser Hijacking,Vulnerability Scan,Browser Hijacking,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2077,15.1,
97796,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2883,19.8,
117622,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.3046,16.0,
140491,DDoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2104,15.0,
