config,i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,n_classify_calls,steps,tools,untrusted_fraction,seconds,error
no_aggregation,160541,Backdoor Malware,Recon-OS Scan,Recon-OS Scan,True,True,Recon-OS Scan,MITM-ARP Spoofing,Benign,MITM-ARP Spoofing,3,4,"classify_flow,classify_flow,classify_flow",0.1933,96.3,
no_aggregation,121896,Backdoor Malware,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Command Injection,Command Injection,Command Injection,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.283,93.3,
no_aggregation,59707,Benign,Recon-OS Scan,Recon-OS Scan,True,True,Recon-OS Scan,Recon-Port Scan,Benign,Recon-Port Scan,2,5,"classify_flow,classify_flow,search_memory,search_memory",0.2683,86.2,
no_aggregation,53035,Benign,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,SQL Injection,Vulnerability Scan,SQL Injection,3,5,"classify_flow,classify_flow,search_memory,search_memory,classify_flow",0.2314,110.3,
no_aggregation,3130,Browser Hijacking,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,XSS,Recon-Host Discovery,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2275,86.1,
no_aggregation,14426,Browser Hijacking,Browser Hijacking,Browser Hijacking,True,True,Browser Hijacking,Browser Hijacking,Browser Hijacking,Browser Hijacking,3,4,"classify_flow,classify_flow,classify_flow",0.2119,61.3,
no_aggregation,157673,Command Injection,Benign,Benign,True,True,Recon-Host Discovery,XSS,DNS Spoofing,XSS,3,5,"classify_flow,classify_flow,search_memory,classify_flow",0.2281,88.1,
no_aggregation,129451,Command Injection,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Browser Hijacking,Vulnerability Scan,Browser Hijacking,3,4,"classify_flow,classify_flow,classify_flow",0.2025,76.1,
no_aggregation,97796,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,3,4,"classify_flow,classify_flow,classify_flow",0.2161,63.3,
no_aggregation,117622,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,2,4,"classify_flow,classify_flow,search_memory",0.2614,108.7,
no_aggregation,140491,DDoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,2,4,"classify_flow,classify_flow,search_memory",0.2836,68.4,
no_aggregation,121874,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2063,73.2,
no_aggregation,180792,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,3,5,"classify_flow,classify_flow,search_memory,classify_flow",0.2796,76.2,
no_aggregation,108796,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,2,3,"classify_flow,classify_flow",0.2311,54.0,
no_aggregation,131715,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,2,4,"classify_flow,classify_flow,ACTION_INPUT:",0.2192,66.4,
no_aggregation,159146,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,3,4,"classify_flow,classify_flow,classify_flow",0.2114,57.6,
no_aggregation,77574,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,2,5,"classify_flow,classify_flow,search_memory,finalize",0.2613,100.4,
no_aggregation,166652,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2136,54.1,
no_aggregation,6682,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,2,4,"classify_flow,classify_flow,search_memory",0.227,105.7,
no_aggregation,148265,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,2,3,"classify_flow,classify_flow",0.2291,49.6,
no_aggregation,33886,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2733,79.6,
no_aggregation,163221,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.3017,87.2,
no_aggregation,167566,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2744,75.3,
no_aggregation,4781,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,2,4,"classify_flow,classify_flow,search_memory",0.2691,94.1,
no_aggregation,58226,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,True,True,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2099,59.9,
no_aggregation,15782,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,2,4,"classify_flow,classify_flow,search_memory",0.3169,74.6,
no_aggregation,77130,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,5,"classify_flow,classify_flow,search_memory,classify_flow",0.2722,83.3,
no_aggregation,80885,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2234,51.0,
no_aggregation,24870,DDoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,3,5,"classify_flow,classify_flow,classify_flow",0.196,77.7,
no_aggregation,1291,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,True,True,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2719,79.1,
no_aggregation,129661,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,3,5,"classify_flow,search_memory,classify_flow,classify_flow",0.2835,95.3,
