config,i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,n_classify_calls,steps,tools,untrusted_fraction,seconds,error
with_aggregation,160541,Backdoor Malware,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,Recon-OS Scan,MITM-ARP Spoofing,Benign,MITM-ARP Spoofing,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1835,87.2,
with_aggregation,121896,Backdoor Malware,Command Injection,Command Injection,True,True,Vulnerability Scan,Command Injection,Command Injection,Command Injection,1,3,"classify_flow,aggregate_classifiers",0.1964,63.2,
with_aggregation,59707,Benign,Benign,Benign,True,True,Recon-OS Scan,Recon-Port Scan,Benign,Recon-Port Scan,3,5,"classify_flow,classify_flow,aggregate_classifiers,classify_flow",0.1758,93.9,
with_aggregation,53035,Benign,SQL Injection,SQL Injection,True,True,Vulnerability Scan,SQL Injection,Vulnerability Scan,SQL Injection,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1873,69.1,
with_aggregation,3130,Browser Hijacking,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,XSS,Recon-Host Discovery,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1947,65.2,
with_aggregation,14426,Browser Hijacking,Browser Hijacking,Browser Hijacking,True,True,Browser Hijacking,Browser Hijacking,Browser Hijacking,Browser Hijacking,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1933,70.9,
with_aggregation,157673,Command Injection,XSS,XSS,True,True,Recon-Host Discovery,XSS,DNS Spoofing,XSS,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1905,66.8,
with_aggregation,129451,Command Injection,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Browser Hijacking,Vulnerability Scan,Browser Hijacking,3,5,"classify_flow,classify_flow,aggregate_classifiers,classify_flow",0.1788,85.8,
with_aggregation,97796,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2036,50.1,
with_aggregation,117622,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.202,54.3,
