config,i,truth,agent,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,steps,n_classify_calls,tools,untrusted_fraction,seconds,error
with_aggregation,160541,Backdoor Malware,MITM-ARP Spoofing,True,True,Recon-OS Scan,MITM-ARP Spoofing,Benign,MITM-ARP Spoofing,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2331,74.3,
with_aggregation,121896,Backdoor Malware,Command Injection,True,True,Vulnerability Scan,Command Injection,Command Injection,Command Injection,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2309,70.1,
with_aggregation,59707,Benign,Benign,True,True,Recon-OS Scan,Recon-Port Scan,Benign,Recon-Port Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2343,68.3,
with_aggregation,53035,Benign,SQL Injection,True,True,Vulnerability Scan,SQL Injection,Vulnerability Scan,SQL Injection,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2311,75.8,
with_aggregation,3130,Browser Hijacking,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,XSS,Recon-Host Discovery,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.234,71.3,
with_aggregation,14426,Browser Hijacking,Browser Hijacking,True,True,Browser Hijacking,Browser Hijacking,Browser Hijacking,Browser Hijacking,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2432,51.9,
with_aggregation,157673,Command Injection,XSS,True,True,Recon-Host Discovery,XSS,DNS Spoofing,XSS,5,2,"classify_flow,classify_flow,aggregate_classifiers,aggregate_classifiers",0.2162,99.1,
with_aggregation,129451,Command Injection,Browser Hijacking,True,True,Vulnerability Scan,Browser Hijacking,Vulnerability Scan,Browser Hijacking,5,2,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2822,91.2,
with_aggregation,97796,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2395,75.6,
with_aggregation,117622,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,True,True,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,DDoS-ACK Fragmentation,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2446,84.5,
with_aggregation,140491,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2427,79.3,
with_aggregation,121874,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2262,79.3,
with_aggregation,180792,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.237,61.5,
with_aggregation,108796,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2348,67.3,
with_aggregation,131715,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2357,62.7,
with_aggregation,159146,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2328,79.7,
with_aggregation,77574,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2465,75.9,
with_aggregation,166652,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2442,58.5,
with_aggregation,6682,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2407,67.7,
with_aggregation,148265,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.239,67.5,
with_aggregation,33886,DDoS-SYN Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2394,56.1,
with_aggregation,163221,DDoS-SYN Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,5,2,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2526,86.7,
with_aggregation,167566,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2415,72.0,
with_aggregation,4781,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2477,64.8,
with_aggregation,58226,DDoS-SynonymousIP Flood,DDoS-SYN Flood,True,True,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2448,56.9,
with_aggregation,15782,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2251,78.6,
with_aggregation,77130,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2329,68.1,
with_aggregation,80885,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,1,"classify_flow,aggregate_classifiers",0.2429,71.5,
with_aggregation,24870,DDoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.243,51.8,
with_aggregation,1291,DDoS-UDP Flood,DDoS-UDP Flood,True,True,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2438,54.0,
with_aggregation,129661,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2425,52.4,
with_aggregation,102956,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2565,53.5,
with_aggregation,49888,DNS Spoofing,DNS Spoofing,True,True,DNS Spoofing,DNS Spoofing,DNS Spoofing,DNS Spoofing,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2412,55.8,
with_aggregation,119617,DNS Spoofing,Recon-OS Scan,True,True,Benign,Recon-OS Scan,Vulnerability Scan,Recon-OS Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2253,85.0,
