attack,max_cost,epsilon,n,evasion_rate,to_benign_rate,median_features,median_queries,seconds
random_noise,low,0.25,200,0.59,0.025,8.0,4.0,657.3
greedy,low,0.25,200,0.57,0.015,2.0,44.0,106.4
random_noise,low,0.5,200,0.65,0.03,8.0,4.0,589.8
greedy,low,0.5,200,0.61,0.015,2.0,44.0,106.0
random_noise,low,1.0,200,0.76,0.015,8.0,4.0,477.1
greedy,low,1.0,200,0.675,0.02,2.0,44.0,105.2
random_noise,medium,0.25,200,0.54,0.02,8.0,5.0,707.7
greedy,medium,0.25,200,0.49,0.01,1.0,42.0,71.6
random_noise,medium,0.5,200,0.58,0.0,8.0,3.0,685.8
greedy,medium,0.5,200,0.545,0.01,1.0,42.0,69.6
random_noise,medium,1.0,200,0.665,0.005,8.0,5.0,516.2
greedy,medium,1.0,200,0.58,0.01,1.0,42.0,63.7
