dataset,regime,holdout,n_classes_held,n_held_rows,auc,fixed_threshold_recall,recall_at_fpr_0.001,recall_at_fpr_0.01,recall_at_fpr_0.05,recall_at_fpr_0.1,fpr_for_recall_0.61,benign_fpr_default,seconds
aci_iot_2023,leave-one-class-out,DNS Flood,1,46935,0.9554920665632697,6.391818472355386e-05,0.004958943219345905,0.1623521891978268,0.9312202157088529,0.9460216260591572,0.015667230354457894,0.0006478519658258088,110
aci_iot_2023,leave-one-class-out,Dictionary Attack,1,6380,0.9849490083130424,0.0,0.00015673981191222572,0.6459059561128526,0.9746672959351566,0.9877742946708464,0.005188250011188233,0.0005263797222334696,119
aci_iot_2023,leave-one-class-out,ICMP Flood,1,225234,0.6309148245444663,0.0,0.0012564710478879743,0.006824014136409246,0.17625509679788745,0.37033485175417563,0.4482738612005428,0.0003239259829129044,81
aci_iot_2023,leave-one-class-out,OS Scan,1,37524,0.9987679482121691,0.02734250079948833,0.0748587570621469,0.9991472124506983,0.9999524132185312,1.0,0.0011742079157809496,0.0006275938860208524,102
aci_iot_2023,leave-one-class-out,Ping Sweep,1,71928,0.8646019528118906,0.00011122233344455567,0.00011122233344455567,0.3260809741365297,0.6600761919070697,0.7910688466244021,0.03887860985232765,0.0004858889743693566,98
aci_iot_2023,leave-one-class-out,Port Scan,1,441282,0.9995170263774614,0.8637900480871642,0.9830131299259883,0.9910329449195753,0.9997484601683277,0.9998939035972749,0.0002429444871846783,0.00028343523504879137,76
aci_iot_2023,leave-one-class-out,SYN Flood,1,13857,0.977602895592343,0.0,0.0,7.216569242981887e-05,0.9996391715378509,0.9997113372302807,0.02244759685275217,0.0004858791375645308,102
aci_iot_2023,leave-one-class-out,Slowloris,1,18643,0.9983866893145732,0.0234940728423537,0.393552539827281,0.9741994314219814,0.9999463605642869,0.9999463605642869,0.0011351041623111134,0.000566858993825286,101
aci_iot_2023,leave-one-class-out,UDP Flood,1,791,0.8346747605572306,0.0,0.0050568900126422255,0.07079646017699115,0.6447995963169346,0.7433628318584071,0.04500598005092386,0.000566858993825286,110
aci_iot_2023,leave-one-class-out,Vulnerability Scan,1,39537,0.9997292158608554,0.9770594632875534,0.9941114652098035,0.9996459013076359,0.9999397922254443,0.9999747072362597,0.0002429395687822654,0.0004858791375645308,117
aci_iot_2023,leave-one-family-out,Brute Force (1),1,6380,0.9849490083130424,0.0,0.00015673981191222572,0.6459059561128526,0.9746672959351566,0.9877742946708464,0.005188250011188233,0.0005263797222334696,111
aci_iot_2023,leave-one-family-out,DoS (5),5,305460,0.5940866100652041,5.565376808747463e-05,0.05059199786114931,0.06515091992404898,0.2460092903713599,0.2762376010098109,0.5150342149720354,0.00010122482032594392,76
aci_iot_2023,leave-one-family-out,Recon (4),4,590271,0.8529469640979916,0.0,0.004466533168663208,0.0200261384177776,0.7537023954533879,0.7707546170504085,0.027895518282688922,0.000283429496912643,65
cic_iot_2023,leave-one-class-out,Dictionary Brute Force  [Brute Force],1,12522,0.8446930709694507,0.798993770963105,0.0134992953578173,0.08228398019485705,0.32912074748442743,0.5112339717993767,0.1356360644148138,0.31080900972944153,167
