dataset,regime,holdout,n_classes_held,n_held_rows,n_train,zero_day_recall,weighted_f1_rest,benign_fpr,seconds
aci_iot_2023,leave-one-class-out,DNS Flood,1,46935,829134,6.391818472355386e-05,0.7199298193625996,0.0006478519658258088,107.3
aci_iot_2023,leave-one-class-out,Dictionary Attack,1,6380,857523,0.0,0.9503810128740138,0.0005263797222334696,114.0
aci_iot_2023,leave-one-class-out,ICMP Flood,1,225234,704325,0.0,0.3098449733741138,0.0003239259829129044,84.8
aci_iot_2023,leave-one-class-out,OS Scan,1,37524,835722,0.02734250079948833,0.7626494038274858,0.0006275938860208524,102.4
aci_iot_2023,leave-one-class-out,Ping Sweep,1,71928,811639,0.00011122233344455567,0.6225396635411535,0.0004858889743693566,97.0
aci_iot_2023,leave-one-class-out,Port Scan,1,441282,553091,0.8637900480871642,0.1680791966005897,0.00028343523504879137,73.4
aci_iot_2023,leave-one-class-out,SYN Flood,1,13857,852289,0.0,0.8981882937911675,0.0004858791375645308,100.2
aci_iot_2023,leave-one-class-out,Slowloris,1,18643,848939,0.0234940728423537,0.867252999407285,0.000566858993825286,100.1
aci_iot_2023,leave-one-class-out,UDP Flood,1,791,861435,0.0,0.9933157428794299,0.000566858993825286,100.6
aci_iot_2023,leave-one-class-out,Vulnerability Scan,1,39537,834313,0.9770594632875534,0.7924660545498425,0.0004858791375645308,99.1
aci_iot_2023,leave-one-family-out,Brute Force (1),1,6380,857523,0.0,0.9503810128740138,0.0005263797222334696,99.9
aci_iot_2023,leave-one-family-out,DoS (5),5,305460,648167,5.565376808747463e-05,0.22852223990592835,0.00010122482032594392,65.8
aci_iot_2023,leave-one-family-out,Recon (4),4,590271,448799,0.0,0.07842480591909598,0.000283429496912643,56.5
cic_iot_2023,leave-one-class-out,Dictionary Brute Force  [Brute Force],1,12522,892812,0.798993770963105,0.686622481943914,0.31080900972944153,145.6
cic_iot_2023,leave-one-class-out,DDoS-ICMP Flood  [DDoS],1,50146,866475,1.0,0.5482376404298575,0.3156070904971345,161.5
cic_iot_2023,leave-one-class-out,DoS-UDP Flood  [DoS],1,49957,866607,1.0,0.5700205629478302,0.3153825646494268,159.2
cic_iot_2023,leave-one-class-out,Mirai-GREETH Flood  [Mirai],1,49816,866706,1.0,0.551021695959311,0.3185817115435884,167.7
cic_iot_2023,leave-one-class-out,Vulnerability Scan  [Recon],1,49849,866683,0.8323737687817208,0.5642669877839998,0.2853905625166622,143.3
cic_iot_2023,leave-one-class-out,MITM-ARP Spoofing  [Spoofing],1,49911,866639,0.9077157340065316,0.5571749731913287,0.3024526792855239,149.9
cic_iot_2023,leave-one-class-out,Browser Hijacking  [Web],1,5630,897636,0.8428063943161634,0.7153712009222313,0.31151692881898163,172.9
cic_iot_2023,leave-one-family-out,Brute Force (1),1,12522,892812,0.798993770963105,0.686622481943914,0.31080900972944153,168.6
cic_iot_2023,leave-one-family-out,DDoS (12),12,550484,516238,0.9999891005006504,0.06662999822788619,0.3129832044788057,85.8
cic_iot_2023,leave-one-family-out,DoS (4),4,199495,761931,0.9999949873430412,0.2981918070110506,0.31844841375633165,126.5
cic_iot_2023,leave-one-family-out,Mirai (3),3,149846,796685,1.0,0.3416076571267362,0.3240037318405971,161.1
cic_iot_2023,leave-one-family-out,Recon (5),5,201753,760350,0.5691315618602946,0.315096915013924,0.08876449420231908,128.9
cic_iot_2023,leave-one-family-out,Spoofing (2),2,100051,831541,0.8188923648939042,0.43839282349764297,0.2991202346041056,153.7
cic_iot_2023,leave-one-family-out,Web (6),6,23799,884918,0.8325139711752595,0.6471602618581705,0.30321204851392775,160.8
